"id","text","score","imdbid"
"68","Not even court-ordered rehab could save this stumbling drunk of a picture.","10","191754"
"69","What must be said is that the new movie is simply awful: poorly structured, vulgarly written, insipidly directed, monotonously performed.","10","107840"
"70","Maybe Kevin Bacon can use the Twinkie defense to explain Hollow Man.","10","164052"
"71","An abomination.","10","389860"
"72","With a shamelessly cliched script by Amy Holden Jones (based on a novel by Jack Engelhard) that includes a speech plagiarized from Citizen Kane, the results are only for those who can take fare like ""Valley of the Dolls"" with a straight face and want to see Redford play Jay Gatsby again.","10","107211"
"73","This pricey, juiceless pulp could never have been killed by critics, simply because it was already dead.","10","1046173"
"74","Weide's big-screen version is sitcom-drab.","10","455538"
"75","The remake neither pays perceptive tribute to the original nor updates it in anything but hackneyed form.","10","454082"
"76","Not that much deep thinking went on here.","10","174480"
"77","Looks like the deformed spawn of a development process gone awry.","10","257076"
"78","McKay's bumptious movie awkwardly combines fourth-wall-breaking gimmickry and flaccid indignation with the goofball energy that defines his comedies.","10","1596363"
"79","""Only Living Boy"" fails to convince as a character study, romance or love letter to the CBGB-era New York City. It drops a plot bombshell close to the end of its 88-minute running time, but the filmmakers haven’t laid the track to make it plausible.","10","460890"
"80","Tautly directed by David Slade, this drama probably offers more sadism than anyone could possibly want...The characters are absurd, but if you're up for this sort of thing, then surely you can con yourself into accepting them. Personally, I'd rather have this movie obliterated from my memory.","10","424136"
"81","Shamelessly manipulative in a crude, bullying way.","10","230838"
"82","It's dispiriting to see good actors doing smart, solid work with so much unadulterated garbage swirling around them. Scott's art is also death, and we, the audience, are the ones he's jabbing at with his ruthless paintbrush. It's about time someone told him where to stick it.","10","328107"
"83","The afterlife is not, however, nearly as deadly or as ghastly as the movie itself, an undertaking so tortured that it digs a deeper grave with every passing scene.","10","838247"
"84","Watching Ramis struggle with his two stars is like watching someone try to juggle lead weights.","10","122933"
"85","The source of this movie's energy is near-perpetual desperation. You can see it in Tom Cruise's fixed grin, and in the mad proliferation of unspecial effects.","10","1013743"
"86","[Gere] seemed to be improvising his way from beginning to end, like he was disgusted with the actual script.","10","163187"
"87","At its core this is just another piece of big-studio nothingness. The characters are so underwritten they barely qualify as types, and the movie is badly paced, bookended by high-ordnance action sequences but painfully static in the middle.","10","431197"
"88","Not wishing to spoil the fun -- pretty hard to come by anyway in this 1998 blockbuster's 150 minutes -- I won't tell you the outcome, but I'll wager you can guess.","10","120591"
"89","Directed by Jonathan Demme, and starring Tom Hanks and Denzel Washington, this AIDS courtroom drama is so pumped full of nitrous oxide, you could get your teeth drilled on it.","10","107818"
"90","Ms. Vikander has leapt into the void of a franchise reboot, based on a video-game reboot, that generates no joy, makes negligible sense, and seals its own tomb with a climax of perfect absurdity.","10","1365519"
"91","Like a wounded yeti, Batman & Robin drags itself through icicle-heavy sets, dry-ice fog and choking jungle vines, before dying in a frozen heap. Unfortunately, that demise occurs about 20 minutes into the movie, which leaves you in the cold for approximately 106 minutes.","10","118688"
"92","A 23-minute movie dragged out, via some narrative gimmickry, to a punishing hour and a half.","10","443274"
"93","Also zero, which is the amount of inspiration and achievement in this continuing saga of the little boy who drowned in Crystal Lake 30 years, seven films and approximately 286 teenagers ago (30-7-286)","10","97388"
"94","Such a stupid, painfully obvious, gratingly unfunny dud that it's unlikely to please even the most gullible and easy-to-please members of the Kiss army.","10","165710"
"95","A manifesto in the form of an enormously budgeted quasi-sci-fi epic, Cloud Atlas is evidently personal, defiantly sincere, totally lacking in self-awareness, and borderline offensive in its gleeful endorsement of revenge violence against anyone who gets in the way of a good person's self-actualization. The rest of the time, it's just insipid, TV-esque in its limited visual imagination, and dramatically incoherent.","10","1371111"
"96","The bad news for everyone else is that the colorfully named characters from Clue remain flat enough to be stored in a box, and that all three endings are unpersuasive. [23 Dec 1985, p.79]","10","88930"
"97","I found Tourist hell to sit through. [23 Jan 1989]","10","94606"
"98","In this smutty kiddie farce he's a clownish action toy, and he grows wearying, fast.","10","109040"
"99","For a suspense drama, Impact is a slack, oddly enervated and mawkish soup of largely lethargic performances.","10","120647"
"100","This is the sophomore production from ""Juno"" screenwriter Diablo Cody, similarly told through ultra-stylized slangy teen dialogue, which is cool, in theory, in the way it respects the verbal resourcefulness of idle flyover kids, but is excruciating to listen to in actual fact.","10","1131734"
"101","If I were a Christian, I'd be appalled to have this primitive and pornographic bloodbath presume to speak for me.","10","335345"
"102","An abominable, abdominal comedy. Aside from its tastelessness and dawdling pace, the movie’s chief problem is the lackluster chemistry between leading lummoxes Jim Carrey and Jeff Daniels.","10","109686"
"103","Let's cut to the chase: We're talking ""Ishtar of the Apes.""","10","185183"
"104","See evil. See evil run. Run, evil, run all the way to cable television purgatory.","10","288477"
"105","Johnny Mnemonic looks and feels like a shabby imitation of Blade Runner and Total Recall. It is a disaster in every way.","10","113481"
"106","A vile concoction. [25 July 1983, p.75]","10","85346"
"107","In the end, I'm wondering what's so special about a film that has but one guilty pleasure and that's Ben Kingsley spraying saliva-lubricated variants of the F-word into the atmosphere like anti-aircraft fire for 10 solid minutes.","10","203119"
"108","In spite of a sturdy cast and dazzling production design, Highlander is stultifyingly, jaw-droppingly, achingly awful.[11 Mar 1986, p.5]","10","91203"
"109","A plodding, aggressive film that is neither engaging, disturbing nor funny.","10","116367"
"110","All the special effects in the world cannot compensate for an inability to generate tension, establish and sustain pace or create any character whose survival is worth rooting for.","10","185371"
"111","Running a mere 83 minutes, A Night At The Roxbury still feels like an eternity spent in bad high-concept-movie hell.","10","120770"
"112","The film doesn’t lack for audacity, or ultimate purpose — it’s against hate and in favor of love. But the adaptation isn’t funny enough to sustain the style, which owes an overt debt to Mel Brooks and amounts to Springtime for Hitler Youth.","10","2584384"
"113","Director Jeannot Szwarc strains hard for spectacular visual effects, though he's barely able to compose a competent close-up.","10","81534"
"114","Adam Sandler displays no virtuosity and stirs no pathos in this special-effects comedy.","10","185431"
"115","Stunning in its guileless self-love, Smith's doodle-movie shows virtually no sign of being made for an audience. The 90-minute by-product of Smith's let's-shoot-a-movie pot party can be mystifying -- we've all stood soberly by as high friends guffaw at nothing in particular, but now we can pay for the privilege.","10","261392"
"116","A promotional gimmick that's being slipped into theaters with the sort of stealth accorded only the unprofitable or the unwatchable.","10","286162"
"117","The shallowest ""serious"" film to be reeling this year.","10","976051"
"118","Hitchcock rings false from start to finish.","10","975645"
"119","Every truly awful movie epic has a point of no return, a moment when the accumulated bad lines and bogus sentimentality become so cloying that the best defense against a mounting queasiness is an awed amusement.The Postman, offers a new opportunity for levity every few minutes after its first hour.","10","119925"
"120","It is hard to say what is more dispiriting about True Romance the movie itself or the fact that someone somewhere is sure to applaud its hollow, dime-store nihilism and smug pseudo-hip posturing as a bright new day in American cinema. [10 Sept 1993]","10","108399"
"121","An intellectual and a sensualist, Cronenberg graces Crash with philosophical musings, acres of pretty flesh and even more penis talk than on some 8 o'clock sitcoms. For all that, Crash doesn't work.","10","115964"
"122","The Happening makes you wonder whether Mr. Shyamalan's own switch may have been flipped. How else to explain his film's befuddling infelicities, insistent banalities, shambling pace and pervasive ineptitude?","10","949731"
"123","A painfully anemic variation on John Landis' 1981 winner, ""An American Werewolf in London."" While the original had both wit and poignancy--and an affectionate and knowing tip-of-the-hat to werewolf movies past--this slapdash, silly new edition is so cut-rate it has Luxembourg and Amsterdam standing in for the City of Light.","10","118604"
"124","An insufferable piffle.","10","357470"
"125","A tedious mock-medieval adventure yarn that's easily the worst film so far this year...Without a single clever line of dialogue (by contrast, Arnold Schwarzenegger's one-liners rank with Oscar Wilde's) or a story of even marginal coherence, the movie relies entirely on visual overkill to bludgeon the viewer into a state of comatose submission. [19 Feb 1993, p.L23]","10","106308"
"126","Isn't any fun at all, which is ultimately the most damning thing you can say about a Bruckheimer movie.","10","368891"
"127","Timeline has negative energy to burn. There's even less of it by the end than at the beginning.","10","300556"
"128","While the film is well-paced, visually it is deathly dull.","10","144964"
"129","A noisy, impenetrable and totally nonsensical cogitation on the nature of firefighters and the sizzling ""animal"" they love...We just wish somebody would call 911 for boredom.","10","101393"
"130","Sequels to big-budget popular hits usually end up super-slick, shallow and inflated. But this one isn't even super-slick; it's shallow and deflated...The overall effect is of a story atomized and dying before our eyes, collapsing into smashed pulp, ground down into big-budget Kryptonite ash. [27 July 1987, p.1]","10","94074"
"131","A vicious, grindingly manipulative urban mystery that uses a thick atmosphere of S & M kinkiness to distract the audience from the story's thinness and inanity.","10","103772"
"132","If you thought Abu Ghraib was a laugh riot then you might love Observe and Report, a potentially brilliant conceptual comedy that fizzles because its writer and director, Jody Hill, doesn't have the guts to go with his spleen.","10","1197628"
"133","By the end of The Watcher you'll need your own prescription.","10","204626"
"134","Achieves a certain cinematic distinction by outdoing ""Dumb and Dumber"" in sheer grossness and detail with its depiction of the unfortunate effects of explosive diarrhea.","10","1220628"
"135","The Lost Boys is a horrifically dreadful vampire teensploitation entry that daringly advances the theory that all those missing children pictured on garbage bags and milk cartons are actually the victims of bloodsucking bikers.","10","93437"
"136","It's not the worst movie ever made; it just seems to be. Its 134 minutes induce a state of simulated brain death, an effect as easily attained in half the time by staring at the blinking lights on a Christmas tree.","10","105665"
"137","Debuting writer-directors Larry and Andy Wachowski come off like Coen brothers wannabes with no sense of humor.","10","115736"
"138","This is a movie that should have a medical warning in its trailer. Caution: viewing may be hazardous to your filmgoing fun; side effects can include drowsiness, irritation and difficulty swallowing.","10","211933"
"139","Drop Dead Gorgeous eventually shows that it doesn't like anybody -- in the movie or in the audience.","10","157503"
"140","Like Thor's hammer, this ersatz epic bludgeons its victims into submission. What's more, it requires them to stare at the source of their punishment through 3-D glasses.","10","800369"
"141","Little more than an exercise in sustained contempt, a petty little missive directed at anyone who dares to wield a pen.","10","2114461"
"142","The ""stone""-shtick gets mighty old after about 15 minutes. More than 30 screenwriters worked on the Flintstones script, and the result just proves the ancient saying about too many cooks.","10","109813"
"143","There is a whiff of an interesting idea in there, but it is buried in tedious scenes lacking clear direction, endless generic (and poorly lit) shoot-outs, and cringeworthy sequences of allegedly witty banter. This movie is an absolute wreck.","10","5519340"
"144","To put it delicately, this comics fan hated Batman v Superman with the fury of a thousand red-dwarf suns. Blunt, humorless, and baffling, it collides the brutish directorial stamp of its director (he of 300 and Watchmen fame) with the most shameless instincts of our latter-day superhero franchise bubble.","10","2975590"
"145","The falling blade is the only element not missing the mark in this film. I wanted to call for the beheading after Act One, and spare the audience instead.","10","467200"
"146","As written by Douglas Preston and Lincoln Child, The Relic deserved to be taken off the shelf; as adapted by a quartet of screenwriters and directed by Peter Hyams, it should have been left on one.","10","120004"
"147","It's an astonishingly crass and vulgar film, crudely directed on a cut-rate budget by Brian Robbins, never more than almost funny or less than disturbing.","10","477051"
"148","I see Austin Powers as Myers' desperate cry for help -- a plea to stop him before he does schtick again.","10","118655"
"149","Size vanquishes both substance and subtlety in the overhyped, half-cocked and humorless resurrection of dear old ""Godzilla.""","10","120685"
"150","Even with a look at many of these people's relationship problems, there's nothing remotely interesting to listen to when they talk. In this case, it's the fault of the script, which doesn't provide much of anything interesting to keep it going for as long as it does.","10","307879"
"151","More than sad, it's slightly sickening to consider the technology, talent and know-how squandered on Hostage, a pile of blood-soaked toxic waste dumped onto the screen in an attempt to salvage Bruce Willis's fading career as an action hero.","10","340163"
"152","[Antoine Fuqua] gives in to terrible instincts here, flirting with overwrought patriotism, one too many laugh lines amid numerous characters being shot in the head, and a general chaos-inspired editing technique all too rampant in today's action cinema.","10","2302755"
"153","How much do I loathe this film? A lottico is putting it mildico.","10","1284575"
"154","What we have here is a fouled-up fairy tale of oppression and empowerment, and it’s hard not to be ensnared by its mixture of rank maleficence and easy reverie. The gap between being genuinely stirred and having your arm twisted, however, is narrower than we care to admit.","10","929632"
"155","With Yes Man, Carrey has bled the well dry, doing everything he knows how to do, over and over again, just to prove that he still knows how to do it. It's exhilarating to see brilliance in a comic; but by the time you start smelling it, the game is over.","10","1068680"
"156","The Neverending Story is a graceless, humorless fantasy for children, combining live actors and animated creatures in mostly imaginary settings.","10","88323"
"157","The cinema of morons made by morons for morons, Swordfish is everything you expect but worse.","10","244244"
"158","The new horror-thriller is cheesy, asinine, convoluted and ludicrous. On the plus side, if your eyeballs need a vigorous workout, this will have them rolling nonstop.","10","1241317"
"159","In one respect at least, the film's idiocy works for Lopez: Every diva needs at least one camp classic on her résumé, and with Enough, she's scored a howler on the level of ""Mommie Dearest.""","10","278435"
"160","The usually reliable director Michael Caton-Jones hasn't a clue how to freshen up such stale material.","10","119395"
"161","It's too bad, then, that Anderson (whose only other major credit is ""Mortal Kombat,"" but of course) and first-time screenwriter Philip Eisner felt so compelled to do away with suspense and turn Event Horizon into a big-budget slasher film.","10","119081"
"162","A football film made by a man who apparently has seen little of the game outside of movies, and not very good ones at that.","10","146838"
"163","More uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels.","10","220506"
"164","The language is leaden, the pace glacial and the characters indecipherable. It's easier to read the actors -- they all seem eager to win an Oscar. Fat chance.","10","120824"
"165","Kin is insufferable, self-seriously combining shut-in nerdiness with wannabe macho pyrotechnics. It’s Bro Cinema in all the worst imaginable senses of the term.","10","6017942"
"166","Let's give this ghastly studio comedy a Truthiness in Advertising award, if nothing else.","10","1488555"
"167","So dull and awful, you actually wonder if this is some kind of Andy Kaufmanesque in-joke, a deliberate attempt to douse the spark that made the original film so enjoyable.","10","289848"
"168","Friday the 13th Part III is terrible, too...There are some dandy 3-D sequences, however, of a yo-yo going up and down and popcorn popping.","10","83972"
"169","My Homo sapiens brain was boggled by the movie's clumsiness, while my heart was chilled by the chance that otherwise mature members of my species might mistake this disjointed botch for summer entertainment.","10","133152"
"170","There's something reassuring about the fact that The Avengers is so rotten: proof yet again that people with piles of money can hire wizard production designers but can't fake class.","10","118661"
"171","Like Sherman McCoy, the hero of Tom Wolfe's ""The Bonfire of the Vanities,"" Brian De Palma makes one fatal choice that leads to disaster. The disaster is the movie The Bonfire of the Vanities. The choice was De Palma's decision to film it as a cartoon -- a broad, black, wannabe savage comedy. Every unfortunate moment of this screechy, heavy-handed movie is a result of that basic misconception, compounded by the fact that the comedy is staged by a man who seems to have temporarily lost his sense of humor. [24 Dec 1990, p.63A]","10","99165"
"172","I Am Number Four's CGI sequences are murky and dark, its performances negligible, its script genuinely inept. There is, I should note, a puppy, which arguably keeps the film this side of completely unbearable, but just barely.","10","1464540"
"173","Has so many things wrong with it that one can only stare at the screen in disbelief. [25 April, 2011 p. 89]","10","1334512"
"174","The movie feels like a thin excuse to show image after image of women being abused. This Martyrs has the bones of its predecessor, but it's been bled dry.","10","1663655"
"175","For a film loaded with decapitations and gun-toting ladies in bondage gear, Sin City gets really tedious really quickly.","10","458481"
"176","From the get-go, Levinson makes every wrongheaded directorial decision imaginable in an apparent effort to make one loathe Assassination Nation—and his success in that regard proves this teensploitation schlock’s lone triumph.","10","6205872"
"177","This reprehensible and deeply unfunny film is obviously critic-proof.","10","129387"
"178","A Eurotrashy vidgame knockoff that misses its target by a mile. Numbingly unthrilling as it lurches from one violent encounter to another, the pic's dark roots in an electronic, non-dramatic medium are plain to see, and unsuspecting gamers lured to theaters will soon wish they were back home participating in the action themselves.","10","465494"
"179","This is shtick that’s minimally a generation past its expiration date.","10","1045778"
"180","Sitting through the last reel is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House.","10","286106"
"181","The big news in Blade II is that there's something worse than vampires, but is there something worse than Blade II?","10","187738"
"182","The film stinks from start to finish, like a wet burlap sack of gloom.","10","283632"
"183","Why Him? is trite, crass and insultingly moronic.","10","4501244"
"184","Disappointing in every aspect.","10","229260"
"185","As this clueless, bulimic debacle madly regurgitates ideas and iconography from Lang to the brothers Wachowski, Leni Riefenstahl to L. Ron Hubbard, Ray Bradbury to Susan Faludi, it's not just Bale who has a hard time keeping a straight face.","10","238380"
"186","The movie's a floating longboat that ought to be ignited and pushed out to sea, Viking style.","10","120646"
"187","There's not a single thing about Air Force One to recommend, except perhaps the controlled performance of Glenn Close, who does remarkably well as the recipient of several phone calls from the sky.","10","118571"
"188","A numbing and dispiriting experience aimed at the least discriminating parts of the teen-age audience.","10","113749"
"189","Les Mayfield's unintentionally wry American Outlaws just smells -- of filmmaking manure as well as yard-sale revisionism.","10","244000"
"190","Watching it, you feel as if you're being hammered to death with champagne corks.","10","98343"
"191","The movie’s most disturbing aspect, of which the filmmakers could not have been unaware, is the physical resemblance between Mr. Elba and Ms. Larter to O. J. and Nicole Brown Simpson. It lends Obsessed a distasteful taint of exploitation.","10","1198138"
"192","The general opinion of Revenge of the Sith seems to be that it marks a distinct improvement on the last two episodes, ""The Phantom Menace"" and ""Attack of the Clones."" True, but only in the same way that dying from natural causes is preferable to crucifixion.","10","121766"
"193","It's a terrible life, and a terrible movie.","10","289879"
"194","The Godfather Part III isn't just a disappointment, it's a failure of heartbreaking proportions... It makes you wish it had never been made.","10","99674"
"195","The movie is a noisy, useless piece of junk, reverse-engineered into something resembling popular art in accordance with the reigning imperatives of marketing and brand extension.","10","1482459"
"196","A self-adrenalizing, self-destructing pop-culture whirligig.","10","166276"
"197","Watching it is like being forced to listen to bad heavy metal music turned up to 11 while fat guys in Bermuda shorts compete in a puking contest in the john.","10","120669"
"198","Convoluted, overstuffed, turned up to 11, and yet, somehow, deadly dull--in other words, white noise.","10","429493"
"199","It's just that this clunky, inane vehicle sputters barely a few feet down its quaint English highway before you want to bid it ""do zvidániya, dumb-ass!""","10","188453"
"200","Not since ""Howard the Duck"" has there been a big-budget comedy with feet as flat as those of Joe Versus the Volcano. Many gifted people contributed to it, but there's no disbelieving the grim evidence on the screen.","10","99892"
"201","It's arguably one of the emptiest, feeblest, most derivative scripts ever made as a major studio movie. There's no need to do a Mad magazine movie parody of this; it's already on the screen.","10","93773"
"202","For most, there will be no adrenaline rush from fear or thrill, or vicarious release from seeing tormentors tormented; one leaves feeling sad. Sad that this is what ""entertainment"" has come to. Come on, filmmakers. Can't you do better?","10","1242432"
"203","The movie is a peculiarly irritating failure -- a leaden piece of uplift.","10","101889"
"204","As you sit through the interminable two-hours-plus that constitute The Fifth Element -- a colossally stupid, overbearingly pompous new movie by Luc Besson -- you can expect to become acquainted with boredom on the most elemental level.","10","119116"
"205","Warner Bros. is presumably aiming this movie not at children but at full-grown dopers with bad munchies glued to the Cartoon Network. Dude, pass the Scooby snacks.","10","267913"
"206","I wouldn't want you to consider even renting this thing. It would only encourage another prequel, this time featuring two dumb toddlers who keep walking into doors and become great pals. Call it ""Duh and Duh.""","10","329028"
"207","A shit stain on the genre.","10","240900"
"208","Overblown and idiotic, this new ""erotic thriller"" is neither erotic nor thrilling; it's long, boring and self-indulgent.","10","259711"
"209","Conjures up plenty of debauched tableaux with its photogenic, jaded showbiz denizens and hangers-on, but nary a reason for existing.","10","865554"
"210","Rips off so many splatter movie tricks at once that it becomes totally frustrating.","10","251736"
"211","Eragon is laughably bad, mind-bogglingly derivative, and easily one of the worst movies of the year.","10","449010"
